timestamp,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],routing,latency_ms
1772199975.1483915,298.9,308.7,1564,34.1,99,cloud_offload,106
1772199975.1701453,298.8,308.6,1707,28.1,103,cloud_offload,138
1772199975.2889695,298.9,308.5,1559,34.3,126,cloud_offload,117
1772199975.2999277,298.8,308.4,1473,41.1,128,cloud_offload,137
1772199975.310893,298.8,308.4,1737,27.7,130,cloud_offload,120
1772199975.354258,298.8,308.5,1711,28.5,140,cloud_offload,124
1772199975.365469,298.7,308.5,1420,45.7,143,cloud_offload,51
1772199975.3870478,298.8,308.6,1449,49.4,150,cloud_offload,121
1772199975.3978412,298.8,308.6,1268,55.8,155,cloud_offload,174
1772199975.4190366,298.7,308.5,1544,35.2,159,cloud_offload,157
1772199975.4836323,298.4,308.4,1515,40.1,179,cloud_offload,139
1772199975.5800464,298.4,308.1,1495,46.0,203,cloud_offload,171
1772199975.6125176,298.4,308.2,1471,47.0,214,cloud_offload,99
1772199975.6233683,298.4,308.2,1282,60.7,216,cloud_offload,118
1772199975.6445765,298.3,308.1,1586,35.5,0,cloud_offload,164
1772199975.655311,298.4,308.2,1468,43.8,2,cloud_offload,135
1772199975.6768773,298.5,308.4,1733,26.0,8,cloud_offload,120
1772199975.6875224,298.4,308.2,1612,32.6,10,cloud_offload,176
1772199975.7307763,298.4,308.2,1610,35.0,24,cloud_offload,147
1772199975.7519422,298.1,308.0,1924,20.8,29,cloud_offload,138
1772199975.7949355,298.2,308.1,1618,34.7,39,cloud_offload,191
1772199975.8054814,298.2,308.2,1988,21.4,41,cloud_offload,121
1772199975.8486524,298.2,308.3,1824,24.2,49,cloud_offload,128
1772199975.934944,298.3,308.4,1539,43.4,69,cloud_offload,184
1772199975.9993997,298.3,308.5,1453,42.9,89,cloud_offload,166
1772199976.05274,298.4,308.6,1609,35.0,103,cloud_offload,129
1772199976.074691,298.4,308.5,1636,35.7,107,cloud_offload,148
1772199976.0963938,298.4,308.5,1741,32.8,112,cloud_offload,158
1772199976.107106,298.5,308.6,1344,53.0,114,cloud_offload,109
1772199976.139958,298.4,308.6,1591,36.7,122,cloud_offload,152
1772199976.150869,298.4,308.6,1477,44.0,124,cloud_offload,61
1772199976.1723967,298.5,308.7,1575,33.9,128,cloud_offload,179
1772199976.2265582,298.3,308.6,1499,38.3,142,cloud_offload,99
1772199976.2479,298.3,308.6,1447,38.1,146,cloud_offload,63
1772199976.3129973,298.3,308.6,1584,29.3,162,cloud_offload,126
1772199976.3236418,298.3,308.5,1362,53.8,164,cloud_offload,80
1772199976.3557527,298.3,308.5,1629,37.1,170,cloud_offload,132
1772199976.3990633,298.2,308.4,1424,47.6,179,cloud_offload,178
1772199976.4420495,298.1,308.3,1495,38.7,188,cloud_offload,102
1772199976.496196,298.0,308.1,1777,24.3,200,cloud_offload,114
1772199976.5403152,297.9,308.1,1627,31.4,209,cloud_offload,82
1772199976.5512722,297.9,308.1,1585,33.5,212,cloud_offload,174
1772199976.561838,298.0,308.2,1469,45.5,214,cloud_offload,59
1772199976.5833573,298.0,308.3,1405,56.2,218,cloud_offload,151
1772199976.604804,298.0,308.2,1466,42.6,2,cloud_offload,146
1772199976.636757,298.0,308.2,1514,37.9,9,cloud_offload,77
1772199976.658397,298.1,308.3,1331,63.0,13,cloud_offload,155
1772199976.6801803,298.1,308.2,1482,37.9,17,cloud_offload,189
1772199976.6910543,298.1,308.2,1420,63.9,19,cloud_offload,150
1772199976.701754,298.2,308.3,1522,49.1,22,cloud_offload,132
1772199976.7126122,298.1,308.2,1654,32.1,25,cloud_offload,106
1772199976.8306398,298.1,308.1,1484,40.4,59,cloud_offload,88
1772199976.906136,298.0,308.1,1819,23.4,78,cloud_offload,69
1772199976.9169753,298.1,308.1,1456,43.7,80,cloud_offload,148
1772199976.9492908,298.2,308.2,1469,43.0,88,cloud_offload,166
1772199976.960291,298.2,308.3,2051,19.2,90,cloud_offload,84
1772199976.9818933,298.2,308.3,1589,33.2,94,cloud_offload,79
1772199977.0354378,298.0,308.3,1473,42.6,107,cloud_offload,91
1772199977.0567925,298.1,308.5,1392,44.8,111,cloud_offload,114
1772199977.1107466,297.9,308.5,2129,18.7,126,cloud_offload,174
1772199977.1653972,297.8,308.4,1479,43.5,143,cloud_offload,132
1772199977.1867564,297.8,308.4,2129,19.2,148,cloud_offload,187
1772199977.197771,297.8,308.4,1374,47.1,150,cloud_offload,71
1772199977.251638,298.0,308.6,1453,44.1,165,cloud_offload,64
1772199977.262657,297.9,308.6,1468,36.0,168,cloud_offload,118
1772199977.2842858,297.9,308.5,1300,53.0,172,cloud_offload,132
1772199977.3058212,297.8,308.4,1714,33.2,177,cloud_offload,167
1772199977.3485143,297.8,308.4,1550,38.2,185,cloud_offload,124
1772199977.3918674,297.8,308.5,1488,41.9,196,cloud_offload,79
1772199977.4140494,297.7,308.5,1501,41.4,201,cloud_offload,144
1772199977.4248257,297.7,308.5,1373,56.7,203,cloud_offload,135
1772199977.4356155,297.6,308.4,1703,31.4,205,cloud_offload,53
1772199977.4462996,297.7,308.5,1720,29.9,210,cloud_offload,152
1772199977.4568508,297.6,308.4,1398,41.9,215,cloud_offload,102
1772199977.4674535,297.6,308.4,1391,51.9,218,cloud_offload,165
1772199977.4998252,297.5,308.1,1469,44.8,5,cloud_offload,50
1772199977.5427747,297.5,308.2,1563,38.2,15,cloud_offload,173
1772199977.5538085,297.5,308.2,1713,32.2,17,cloud_offload,97
1772199977.5648892,297.4,308.1,1474,39.4,20,cloud_offload,152
1772199977.5755677,297.4,308.2,1530,32.6,22,cloud_offload,194
1772199977.6288478,297.5,308.3,1459,45.2,34,cloud_offload,122
1772199977.63952,297.5,308.3,1544,40.8,37,cloud_offload,129
1772199977.6719213,297.6,308.3,1400,44.3,43,cloud_offload,195
1772199977.7367954,297.6,308.4,1398,48.9,63,cloud_offload,83
1772199977.7583206,297.6,308.3,1467,36.7,68,cloud_offload,70
1772199977.801738,297.6,308.3,1640,30.9,79,cloud_offload,145
1772199977.8232234,297.6,308.4,1407,55.2,86,cloud_offload,190
1772199977.9624617,297.4,308.2,1424,53.9,120,cloud_offload,108
1772199977.9732594,297.3,308.2,1754,29.4,123,cloud_offload,116
1772199978.0704713,297.7,308.7,1249,60.4,143,cloud_offload,196
1772199978.125014,297.6,308.5,1490,43.4,154,cloud_offload,146
1772199978.178315,297.4,308.3,1774,28.9,166,cloud_offload,134
1772199978.1890619,297.4,308.3,1502,43.6,169,cloud_offload,146
1772199978.3088267,297.4,308.6,1459,41.3,196,cloud_offload,116
1772199978.3195775,297.5,308.6,1472,44.9,198,cloud_offload,95
1772199978.341079,297.5,308.6,1388,48.2,203,cloud_offload,95
1772199978.4378853,297.3,308.3,1657,31.1,8,cloud_offload,175
1772199978.5024383,297.5,308.5,1496,42.2,22,cloud_offload,143
1772199978.5244348,297.5,308.6,1208,62.3,28,cloud_offload,69
1772199978.5354683,297.5,308.6,1596,37.1,30,cloud_offload,172
1772199978.6321146,297.4,308.3,1535,34.6,51,cloud_offload,148
1772199978.6428995,297.4,308.5,1389,39.2,54,cloud_offload,141
1772199978.675085,297.4,308.5,1469,45.1,63,cloud_offload,159
1772199978.7175896,297.6,308.7,1376,59.9,74,cloud_offload,93
1772199978.728671,297.5,308.6,1552,44.9,77,cloud_offload,79
1772199978.7394078,297.6,308.7,1622,37.9,79,cloud_offload,134
1772199978.7938867,297.4,308.7,1468,46.6,94,cloud_offload,91
1772199978.8047166,297.4,308.7,1429,57.4,96,cloud_offload,155
1772199978.8588724,297.3,308.6,1431,42.0,109,cloud_offload,53
1772199978.8697076,297.4,308.7,1402,40.2,114,cloud_offload,60
1772199978.9341486,297.2,308.5,2182,16.5,127,cloud_offload,137
1772199978.9873435,297.4,309.0,1497,41.8,144,cloud_offload,189
1772199979.0303276,297.4,309.0,1570,37.9,154,cloud_offload,190
1772199979.0517557,297.4,309.0,1833,22.6,161,cloud_offload,82
1772199979.0625172,297.4,308.9,1323,57.3,163,cloud_offload,102
1772199979.083833,297.3,309.0,1556,39.5,168,cloud_offload,174
1772199979.126622,297.4,309.0,1685,30.7,177,cloud_offload,55
1772199979.1904645,297.4,309.2,1420,45.6,193,cloud_offload,97
1772199979.2116299,297.5,309.3,1470,38.8,197,cloud_offload,180
1772199979.2658153,297.5,309.1,1611,30.2,211,cloud_offload,56
1772199979.2876298,297.5,309.2,1804,27.4,215,cloud_offload,79
1772199979.2987812,297.6,309.3,1464,46.2,218,cloud_offload,55
1772199979.3208127,297.6,309.2,1442,48.1,0,cloud_offload,78
1772199979.386389,297.6,309.3,1415,41.3,17,cloud_offload,121
1772199979.3971698,297.5,309.3,1564,37.5,20,cloud_offload,102
1772199979.4941585,297.7,309.5,2027,19.8,39,cloud_offload,101
1772199979.505007,297.6,309.5,1617,36.2,42,cloud_offload,191
1772199979.569324,297.6,309.5,1373,50.6,55,cloud_offload,134
1772199979.5912168,297.5,309.5,1553,42.4,60,cloud_offload,177
1772199979.6447587,297.5,309.3,1675,29.8,72,cloud_offload,172
1772199979.6772168,297.4,309.3,1759,24.8,81,cloud_offload,192
1772199979.6986985,297.4,309.3,1499,36.8,88,cloud_offload,160
1772199979.7092862,297.4,309.3,1775,25.8,91,cloud_offload,197
1772199979.7200174,297.4,309.4,1473,45.5,94,cloud_offload,155
1772199979.7308385,297.4,309.4,1296,52.3,96,cloud_offload,102
1772199979.7417746,297.5,309.4,1803,24.7,98,cloud_offload,92
1772199979.7637768,297.5,309.4,1831,26.6,105,cloud_offload,156
1772199979.7745893,297.6,309.4,1958,22.1,108,cloud_offload,52
1772199979.8070583,297.4,309.3,1332,53.2,115,cloud_offload,79
1772199979.8505232,297.4,309.3,1622,35.0,123,cloud_offload,58
1772199979.8935556,297.5,309.4,1357,50.1,137,cloud_offload,86
1772199979.957792,297.6,309.5,1574,30.9,151,cloud_offload,170
1772199979.9688127,297.7,309.6,1529,35.2,153,cloud_offload,118
1772199979.9795496,297.6,309.6,1669,32.1,155,cloud_offload,144
1772199980.0117934,297.7,309.7,1680,30.2,168,cloud_offload,185
1772199980.033,297.7,309.6,1596,35.2,173,cloud_offload,87
1772199980.0650232,297.8,309.9,1351,49.0,181,cloud_offload,112
1772199980.1191976,297.7,309.7,1591,37.7,196,cloud_offload,70
1772199980.1512883,297.8,309.8,1798,25.5,203,cloud_offload,160
1772199980.2266665,297.6,309.5,1623,33.1,224,cloud_offload,147
1772199980.2582135,297.5,309.4,1517,36.7,233,cloud_offload,109
1772199980.2795737,297.5,309.5,1668,27.9,240,cloud_offload,68
1772199980.3007965,297.6,309.6,1278,50.4,2,cloud_offload,169
1772199980.3440495,297.7,309.6,1480,47.9,18,cloud_offload,140
1772199980.3872287,297.9,309.8,2000,21.3,29,cloud_offload,134
1772199980.408885,297.9,309.9,1542,33.8,33,cloud_offload,190
1772199980.4628863,298.1,309.9,1629,32.5,45,cloud_offload,169
1772199980.5165896,298.0,309.9,1445,45.2,55,cloud_offload,72
1772199980.5271537,298.1,309.9,1642,30.4,58,cloud_offload,169
1772199980.5805788,298.3,310.1,1389,49.6,75,cloud_offload,145
1772199980.612996,298.4,310.1,1926,23.7,83,cloud_offload,169
1772199980.6240072,298.3,310.1,1509,37.6,85,cloud_offload,185
1772199980.6347666,298.3,310.1,1545,36.3,90,cloud_offload,112
1772199980.6670985,298.4,310.1,1335,57.8,96,cloud_offload,89
1772199980.6779664,298.3,310.1,1523,45.9,99,cloud_offload,176
1772199980.7970304,297.9,309.6,1515,38.8,124,cloud_offload,171
1772199980.80789,297.9,309.5,1390,47.9,127,cloud_offload,100
1772199980.8406575,297.7,309.4,1608,30.2,135,cloud_offload,148
1772199980.8624897,297.7,309.4,1461,43.7,142,cloud_offload,133
1772199980.873253,297.7,309.3,1559,36.9,145,cloud_offload,100
1772199980.8841405,297.7,309.3,1400,48.9,147,cloud_offload,51
1772199980.8949294,297.7,309.2,1732,28.8,152,cloud_offload,62
1772199980.9806259,297.7,309.2,1365,58.6,170,cloud_offload,78
1772199980.9913392,297.7,309.1,1562,36.8,172,cloud_offload,138
1772199981.024683,297.6,309.0,1427,45.6,179,cloud_offload,155
1772199981.056369,297.5,308.9,1390,47.4,187,cloud_offload,125
1772199981.099426,297.5,308.9,1738,24.0,195,cloud_offload,109
1772199981.1638324,297.8,309.0,1456,41.2,0,cloud_offload,144
1772199981.1745477,297.8,309.1,1424,45.5,2,cloud_offload,182
1772199981.2382717,297.7,309.0,1656,33.2,20,cloud_offload,95
1772199981.3136258,297.6,309.0,1735,26.4,41,cloud_offload,125
1772199981.3352857,297.6,309.0,1413,40.2,51,cloud_offload,175
1772199981.3567293,297.7,309.1,1479,42.1,58,cloud_offload,131
1772199981.3996904,297.6,309.0,1815,25.3,66,cloud_offload,68
1772199981.4106808,297.6,308.8,1453,39.7,69,cloud_offload,149
1772199981.4539173,297.7,308.8,1515,40.1,82,cloud_offload,60
1772199981.464767,297.7,308.9,1531,48.3,84,cloud_offload,155
1772199981.4757452,297.7,308.9,1479,40.9,87,cloud_offload,103
1772199981.5301242,297.6,308.8,1416,45.9,101,cloud_offload,188
1772199981.5734355,297.5,308.7,1453,37.6,112,cloud_offload,69
1772199981.6062417,297.4,308.6,1324,59.1,118,cloud_offload,78
1772199981.6381247,297.5,308.8,1477,39.0,127,cloud_offload,171
1772199981.6600769,297.4,308.9,1809,23.8,131,cloud_offload,66
1772199981.6708,297.5,308.9,1696,30.9,133,cloud_offload,153
1772199981.6816485,297.5,308.9,1427,44.7,135,cloud_offload,182
1772199981.7781117,297.3,308.6,1431,53.0,160,cloud_offload,112
1772199981.821216,296.9,308.4,1557,32.4,173,cloud_offload,121
1772199981.8423002,296.9,308.3,1474,39.2,177,cloud_offload,70
1772199981.8640344,296.9,308.4,1390,41.8,184,cloud_offload,165
1772199981.874721,296.9,308.4,1450,46.9,186,cloud_offload,183
1772199981.8964174,296.8,308.2,1643,34.7,191,cloud_offload,191
1772199982.0361679,296.8,308.1,1492,43.7,222,cloud_offload,58
1772199982.0687525,296.8,308.0,1497,41.7,231,cloud_offload,132
1772199982.0798364,296.7,307.8,1537,36.3,233,cloud_offload,99
1772199982.1549528,296.8,308.0,1561,38.3,9,cloud_offload,177
1772199982.1656802,296.9,308.0,1546,31.1,11,cloud_offload,93
1772199982.1977568,296.8,308.0,1391,54.4,17,cloud_offload,122
1772199982.2734797,296.7,307.8,1382,47.5,37,cloud_offload,128
1772199982.3159359,296.8,308.0,1675,29.7,46,cloud_offload,104
1772199982.3269472,296.8,307.9,1698,30.8,48,cloud_offload,99
1772199982.402188,296.9,308.0,1641,33.3,67,cloud_offload,55
1772199982.4456396,296.8,307.9,1683,31.8,76,cloud_offload,175
1772199982.4780183,296.9,307.9,2010,18.9,86,cloud_offload,132
1772199982.4993587,296.9,307.8,1828,24.6,91,cloud_offload,137
1772199982.5102682,297.0,307.8,1579,34.1,94,cloud_offload,167
1772199982.5643654,296.9,307.8,1544,37.6,109,cloud_offload,96
1772199982.5749671,297.0,307.9,1412,47.4,112,cloud_offload,182
1772199982.5964386,297.0,307.7,1867,22.8,118,cloud_offload,95
1772199982.6070678,296.9,307.7,1424,43.3,120,cloud_offload,114
1772199982.6288216,296.9,307.7,1550,39.7,124,cloud_offload,53
1772199982.6610975,296.8,307.6,1513,40.0,130,cloud_offload,150
1772199982.7254994,296.8,307.6,1398,46.7,144,cloud_offload,91
1772199982.7578688,296.7,307.6,1547,34.7,150,cloud_offload,73
1772199982.7898564,296.6,307.3,1474,40.0,158,cloud_offload,136
1772199982.800452,296.5,307.2,1481,38.2,160,cloud_offload,142
1772199982.8111372,296.5,307.3,1501,42.1,162,cloud_offload,126
1772199982.8983178,296.7,307.4,1533,32.5,182,cloud_offload,192
1772199982.9092262,296.6,307.4,1368,45.1,185,cloud_offload,84
1772199982.973813,296.6,307.5,1566,35.0,201,cloud_offload,113
1772199982.9967992,296.5,307.5,1566,35.1,206,cloud_offload,163
1772199983.0613742,296.3,307.3,1567,31.4,5,cloud_offload,177
1772199983.0932224,296.3,307.3,1444,49.0,13,cloud_offload,54
1772199983.20096,296.0,306.7,1416,44.2,46,cloud_offload,127
1772199983.2224934,295.9,306.6,1414,50.2,51,cloud_offload,148
1772199983.254866,295.8,306.5,1514,37.7,60,cloud_offload,102
1772199983.2869651,295.8,306.4,1339,53.2,67,cloud_offload,59
1772199983.2977467,295.8,306.4,1335,51.7,69,cloud_offload,119
1772199983.3840957,295.8,306.3,1235,76.2,89,cloud_offload,132
1772199983.4480922,295.7,306.2,1458,40.6,103,cloud_offload,107
1772199983.4912457,295.6,306.0,1370,52.4,115,cloud_offload,62
1772199983.523668,295.7,306.2,1423,42.5,121,cloud_offload,144
1772199983.545037,295.6,306.2,1435,51.6,126,cloud_offload,64
1772199983.5661774,295.6,306.2,1612,31.2,131,cloud_offload,57
1772199983.5876417,295.6,306.2,1329,55.3,135,cloud_offload,86
1772199983.6203008,295.6,306.1,1383,48.7,147,cloud_offload,99
1772199983.6309586,295.7,306.2,2270,14.6,149,cloud_offload,66
1772199983.6527276,295.6,306.1,1474,41.2,156,cloud_offload,113
1772199983.6634316,295.6,306.1,1462,49.2,158,cloud_offload,179
1772199983.6954663,295.5,306.0,1456,39.2,167,cloud_offload,148
1772199983.7061388,295.5,306.0,1546,35.9,169,cloud_offload,160
1772199983.7490382,295.4,305.9,1518,40.6,178,cloud_offload,179
1772199983.7602935,295.4,305.8,1526,38.2,181,cloud_offload,77
1772199983.7816324,295.3,305.7,1475,51.0,187,cloud_offload,65
1772199983.8460405,295.5,306.0,1423,45.3,205,cloud_offload,115
1772199983.8997197,295.6,306.0,1949,21.9,5,cloud_offload,146
1772199983.9108381,295.6,306.0,1419,51.1,7,cloud_offload,119
1772199983.9429736,295.6,306.0,1363,50.0,14,cloud_offload,124
1772199983.9647985,295.5,306.0,1326,50.8,18,cloud_offload,141
1772199983.9968832,295.6,306.2,1263,61.8,27,cloud_offload,104
1772199984.061499,295.6,306.2,1477,45.0,40,cloud_offload,171
1772199984.072229,295.7,306.3,1712,28.5,43,cloud_offload,65
1772199984.1255355,295.6,306.3,1636,32.7,56,cloud_offload,116
1772199984.2010763,295.6,306.2,1632,32.2,76,cloud_offload,99
1772199984.2769413,295.8,306.6,1621,31.6,95,cloud_offload,176
1772199984.351825,295.8,306.5,1568,35.1,111,cloud_offload,146
1772199984.3623188,295.9,306.6,1557,41.1,113,cloud_offload,177
1772199984.384195,295.9,306.6,1679,30.4,117,cloud_offload,198
1772199984.395091,296.0,306.6,1511,35.2,119,cloud_offload,131
1772199984.4381638,296.2,306.8,1526,42.3,129,cloud_offload,97
1772199984.5349004,296.3,307.1,1534,33.8,151,cloud_offload,76
1772199984.5461345,296.3,307.1,1774,25.9,154,cloud_offload,55
1772199984.5570304,296.2,307.0,2119,18.3,159,cloud_offload,116
1772199984.6110566,296.2,307.2,1168,63.4,172,cloud_offload,185
1772199984.6649904,296.3,307.1,1560,33.2,186,cloud_offload,60
1772199984.698139,296.3,307.2,1646,35.0,192,cloud_offload,141
1772199984.7196937,296.3,307.2,1424,42.0,196,cloud_offload,123
1772199984.7622695,296.2,307.1,1441,41.7,3,cloud_offload,79
1772199984.7974746,296.2,307.3,1451,42.8,11,cloud_offload,82
1772199984.8845277,296.3,307.3,1398,52.7,31,cloud_offload,108
1772199984.8950522,296.3,307.3,1372,57.7,33,cloud_offload,90
1772199984.970657,296.3,307.4,1335,50.5,48,cloud_offload,113
1772199985.0142365,296.4,307.5,1549,36.1,58,cloud_offload,178
1772199985.02518,296.3,307.4,1648,34.0,60,cloud_offload,164
1772199985.0679233,296.4,307.5,1684,31.4,72,cloud_offload,82
1772199985.1110523,296.7,307.7,1502,43.9,84,cloud_offload,75
1772199985.1217916,296.6,307.6,1809,25.1,86,cloud_offload,140
1772199985.132673,296.6,307.6,1542,37.4,88,cloud_offload,179
1772199985.1432137,296.5,307.6,1431,45.2,90,cloud_offload,189
1772199985.1648214,296.4,307.5,1403,52.8,94,cloud_offload,85
1772199985.1753829,296.4,307.5,1331,47.8,99,cloud_offload,126
1772199985.208565,296.5,307.6,1415,44.2,106,cloud_offload,177
1772199985.2412772,296.7,307.7,1927,23.9,112,cloud_offload,62
1772199985.252155,296.7,307.7,1597,32.1,114,cloud_offload,198
1772199985.2629883,296.8,307.8,1627,30.5,117,cloud_offload,161
1772199985.2736957,296.8,307.8,1480,39.4,122,cloud_offload,120
1772199985.359902,296.8,307.8,1664,32.8,142,cloud_offload,198
